region,year,spend_per_visit,spend_per_day
Canada,2018,796.3502714349156,87.80991908556481
Canada,2019,838.0818114202411,94.4161177171179
Canada,2020,NA,NA
Canada,2021,1149.258,64.386
Canada,2022,1038.8790854325914,96.77253449910138
USA,2018,877.1266765731393,114.24831586433962
USA,2019,927.6097584881263,143.40424791053331
USA,2020,NA,NA
USA,2021,1179.616,73.325
USA,2022,1297.569513153447,152.046232835585
North America,2018,864.4340594532505,109.47684019752458
North America,2019,913.04516752848,133.09250353588914
North America,2020,NA,NA
North America,2021,1174.7,71.747
North America,2022,1255.2686457307573,141.13675946493518
Austria,2018,455.0852269731906,96.82037158404393
Austria,2019,501.59860755123975,120.08715046098155
Austria,2020,NA,NA
Austria,2021,524.101,39.24
Austria,2022,638.6946947105768,103.81730869889587
Belgium,2018,354.40594941574693,97.99394504760082
Belgium,2019,316.31094199183906,106.6128283005623
Belgium,2020,NA,NA
Belgium,2021,750.846,94.204
Belgium,2022,592.2877915975553,125.9000041261095
Bulgaria,2018,439.15355682534096,42.09748753379112
Bulgaria,2019,716.7640224998131,56.58322204931244
Bulgaria,2020,NA,NA
Bulgaria,2021,668.569,24.55
Bulgaria,2022,616.6274610559325,67.46301349270655
Czech Republic,2018,294.35154313450346,62.07522260307313
Czech Republic,2019,398.0106464658945,66.39929547093026
Czech Republic,2020,NA,NA
Czech Republic,2021,371.79,24.717
Czech Republic,2022,536.7812620983517,100.48874973183842
Cyprus,2018,622.9530841374465,60.28776503425866
Cyprus,2019,834.3208363820281,88.82453776452245
Cyprus,2020,NA,NA
Cyprus,2021,768.15,60.953
Cyprus,2022,855.1243849952215,80.5354292546952
Denmark,2018,519.7156891418089,122.94224748226702
Denmark,2019,475.19446343880276,122.78126323107857
Denmark,2020,NA,NA
Denmark,2021,608.758,84.129
Denmark,2022,544.82955727344,115.16588053920087
Finland,2018,543.9601652277022,115.85844337916511
Finland,2019,568.3905570543707,111.97217177379206
Finland,2020,NA,NA
Finland,2021,1046.066,51.756
Finland,2022,667.0884483424561,115.2362667072189
France,2018,374.4627083032661,72.72250222662461
France,2019,392.33587349382753,82.46332785071577
France,2020,NA,NA
France,2021,620.75,57.23
France,2022,556.1809056340869,94.09037937733514
Germany,2018,464.4695449379877,86.47089068269402
Germany,2019,484.3704063443987,87.85514162152454
Germany,2020,NA,NA
Germany,2021,603.136,54.402
Germany,2022,622.7838339484242,98.5515593456144
Greece,2018,586.0820978059503,66.09626035114103
Greece,2019,679.4498213377532,94.38509815998285
Greece,2020,NA,NA
Greece,2021,1003.714,57.066
Greece,2022,771.0370738644489,83.30911933215356
Hungary,2018,317.6828225100776,44.465895463772
Hungary,2019,433.34738856770065,60.973648859099114
Hungary,2020,NA,NA
Hungary,2021,363.996,44.021
Hungary,2022,346.2713466106161,59.134562475714034
Republic of Ireland,2018,322.38545976925457,107.42987634077033
Republic of Ireland,2019,333.9754422004996,89.34145971693208
Republic of Ireland,2020,NA,NA
Republic of Ireland,2021,414.054,72.247
Republic of Ireland,2022,406.82210860766327,109.9006274109856
Italy,2018,433.09773884078487,82.76040240889328
Italy,2019,504.160697724884,87.09952215792903
Italy,2020,NA,NA
Italy,2021,677.244,47.377
Italy,2022,606.9954480889861,90.04333557777642
Lithuania,2018,312.92052135835985,53.60385688042948
Lithuania,2019,470.97607940154296,42.066640722732586
Lithuania,2020,NA,NA
Lithuania,2021,419.406,46.917
Lithuania,2022,411.53083469323934,64.98667648014974
Luxembourg,2018,594.8527500149961,97.58909142546041
Luxembourg,2019,574.9651870346285,188.26895756122664
Luxembourg,2020,NA,NA
Luxembourg,2021,640.763,81.583
Luxembourg,2022,811.2674400489326,183.5635741829435
Malta,2018,503.2077820410411,97.03377880601433
Malta,2019,680.7514781869156,110.5900071344635
Malta,2020,NA,NA
Malta,2021,1610.142,136.793
Malta,2022,507.23330982371374,70.03657653604442
Netherlands,2018,364.5544378833113,84.19491507582718
Netherlands,2019,400.1855976186259,92.165583117769
Netherlands,2020,NA,NA
Netherlands,2021,529.306,53.081
Netherlands,2022,547.3830357021767,106.76423684575862
Norway,2018,578.1838795889463,127.13069957673792
Norway,2019,673.1902287828308,150.60687607087698
Norway,2020,NA,NA
Norway,2021,841.559,94.377
Norway,2022,763.337476318194,149.6303170653418
Poland,2018,251.36572816365415,37.042414008470075
Poland,2019,301.53185900991974,55.75550490012059
Poland,2020,NA,NA
Poland,2021,321.305,31.019
Poland,2022,307.8483959860901,53.61861214658515
Portugal,2018,380.34672352021875,61.407254772730745
Portugal,2019,475.09286775758267,70.5775148198291
Portugal,2020,NA,NA
Portugal,2021,497.64,51.308
Portugal,2022,450.5071074745984,64.80210513674687
Romania,2018,485.96279736031795,38.58894744641397
Romania,2019,486.47643277085103,45.61663921746311
Romania,2020,NA,NA
Romania,2021,595.409,33.265
Romania,2022,437.5450722993297,48.52357741167087
Russia,2018,860.3895089969513,122.99169758940828
Russia,2019,914.747015695715,106.27953637322271
Russia,2020,NA,NA
Russia,2021,819.317,26.471
Russia,2022,1069.2896151290574,80.53354696384683
Slovakia,2018,270.71567678474094,40.68005129852477
Slovakia,2019,370.27542447514736,67.42616139257005
Slovakia,2020,NA,NA
Slovakia,2021,842.122,54.647
Slovakia,2022,501.20003066383055,58.96325478337555
Spain,2018,438.3151426004842,72.81708286467907
Spain,2019,420.2907816788213,64.9414909457716
Spain,2020,NA,NA
Spain,2021,564.703,42.449
Spain,2022,523.5232223273487,76.02937206399842
Sweden,2018,535.4935205856825,117.76017629319985
Sweden,2019,506.63055244954035,107.83582744670024
Sweden,2020,NA,NA
Sweden,2021,668.957,69.104
Sweden,2022,622.6092850457425,110.22648872847752
Switzerland,2018,558.0398364052529,89.18082489255688
Switzerland,2019,614.8971675751019,126.53908966071589
Switzerland,2020,NA,NA
Switzerland,2021,872.196,86.57
Switzerland,2022,750.1935741826983,127.49158752688788
Turkey,2018,849.6777070200907,102.7631305852279
Turkey,2019,789.7402842616614,48.67346454143826
Turkey,2020,NA,NA
Turkey,2021,1090.161,58.236
Turkey,2022,894.1986926596675,98.03167299846123
Rest of Europe,2018,497.0456699483565,79.99276848567871
Rest of Europe,2019,472.2356096250514,80.35158681760714
Rest of Europe,2020,NA,NA
Rest of Europe,2021,735.118,46.394
Rest of Europe,2022,731.8023528701973,55.897834779882174
Europe,2018,419.60704440105064,76.988641703543
Europe,2019,450.0371818051702,81.4430635504999
Europe,2020,NA,NA
Europe,2021,587.283,52.452
Europe,2022,550.9261390462326,90.04162774034573
- of which EU,2018,398.978895306464,74.01842457464245
- of which EU,2019,428.68627067899774,79.38644967932963
- of which EU,2020,NA,NA
- of which EU,2021,557.809,51.113
- of which EU,2022,524.5745444215395,88.84339322764357
- of which EU15,2018,409.57031325962083,84.96499317952099
- of which EU15,2019,428.8742174914439,86.82448978997155
- of which EU15,2020,NA,NA
- of which EU15,2021,576.258,56.059
- of which EU15,2022,547.9550615579199,96.30015572225938
- of which EU Oth,2018,349.92343831954724,43.580342976503744
- of which EU Oth,2019,427.8373380508035,57.199484296835685
- of which EU Oth,2020,NA,NA
- of which EU Oth,2021,485.31,36.208
- of which EU Oth,2022,415.16315523844855,60.10025451082345
Egypt,2018,1011.9174639031594,112.82594882693556
Egypt,2019,1541.5389071840777,193.24896208623738
Egypt,2020,NA,NA
Egypt,2021,2579.247,88.306
Egypt,2022,1853.2726382057147,147.5923226942314
Morocco,2018,690.2901953619586,147.4303687484773
Morocco,2019,1048.6268197930824,103.92270970274025
Morocco,2020,NA,NA
Morocco,2021,2120.798,79.972
Morocco,2022,1457.1047795845623,64.53409540236353
Tunisia,2018,1192.2782115479627,117.02647830286678
Tunisia,2019,434.32477955628775,83.32549501356817
Tunisia,2020,NA,NA
Tunisia,2021,1273.893,40.191
Tunisia,2022,1113.8907428377704,17.960348627886955
Other North Africa,2018,868.5599907152987,74.32966284038834
Other North Africa,2019,1277.8221527687222,108.59177821316878
Other North Africa,2020,NA,NA
Other North Africa,2021,2408.805,34.228
Other North Africa,2022,1798.8582326518433,119.26599973336442
South Africa,2018,1167.4401679819614,94.82692049068729
South Africa,2019,1021.2853371767047,90.47287256627705
South Africa,2020,NA,NA
South Africa,2021,1536.962,30.039
South Africa,2022,1328.0098940697062,78.62976801088044
Nigeria,2018,1449.1076561790208,78.74775119899405
Nigeria,2019,1588.9401356848778,111.08736841959225
Nigeria,2020,NA,NA
Nigeria,2021,2177.11,68.664
Nigeria,2022,1629.0746704684261,77.7087818897615
Other Africa,2018,1119.0777902232871,73.52610123621697
Other Africa,2019,1516.7832014878998,85.71907859214855
Other Africa,2020,NA,NA
Other Africa,2021,1805.244,43.723
Other Africa,2022,1626.296732030338,77.74026183766675
Israel,2018,824.9547681720334,123.29979354568357
Israel,2019,917.717150599504,140.5016518690326
Israel,2020,NA,NA
Israel,2021,1076.207,94.489
Israel,2022,955.2884840247323,144.89251715305176
United Arab Emirates,2018,1779.7692140151887,195.42985574858608
United Arab Emirates,2019,1572.3305737697563,169.59749495051858
United Arab Emirates,2020,NA,NA
United Arab Emirates,2021,2209.453,110.52
United Arab Emirates,2022,2088.385167966849,151.30279906766526
Other Middle East,2018,2374.380786831859,162.45776059732572
Other Middle East,2019,2541.4226687817836,177.62738168594402
Other Middle East,2020,NA,NA
Other Middle East,2021,3753.85,156.215
Other Middle East,2022,2908.6270149534766,169.91863696166325
Hong Kong (China),2018,1201.615825139242,112.96053187945931
Hong Kong (China),2019,1364.2718903605496,156.25820133448113
Hong Kong (China),2020,NA,NA
Hong Kong (China),2021,3558.036,75.307
Hong Kong (China),2022,2094.5537174519322,90.47279230921929
Other China,2018,1654.4117650913013,111.82340388554967
Other China,2019,1878.929494170286,122.55935855498005
Other China,2020,NA,NA
Other China,2021,8779.075,48.083
Other China,2022,2974.983085231456,44.64270243870158
India,2018,947.9385076978297,46.96754301799386
India,2019,1087.0974491543545,60.89127571766377
India,2020,NA,NA
India,2021,1991.34,33.499
India,2022,1479.3993892688018,55.46464078867688
Japan,2018,1158.4108915803165,146.24635573608037
Japan,2019,949.591381825648,136.37283661990767
Japan,2020,NA,NA
Japan,2021,1877.043,48.531
Japan,2022,1419.215598794482,107.65733355626898
Pakistan,2018,1086.6878071018123,53.3114452678313
Pakistan,2019,1280.2646683940525,60.470941802578075
Pakistan,2020,NA,NA
Pakistan,2021,1074.995,19.934
Pakistan,2022,1790.5950270229464,73.82247280968129
Sri Lanka,2018,1604.838188373264,88.71843915370158
Sri Lanka,2019,948.5047797134514,37.91081002598534
Sri Lanka,2020,NA,NA
Sri Lanka,2021,2508.381,22.451
Sri Lanka,2022,2044.0684674318024,59.55313857157911
Thailand,2018,1672.2894135512222,89.3751387524978
Thailand,2019,1511.9029939045722,130.10227869973633
Thailand,2020,NA,NA
Thailand,2021,2395.75,25.211
Thailand,2022,1299.3104999852765,83.18390345762056
Other Asia,2018,1061.7875126525862,106.38772316604432
Other Asia,2019,1167.2145427469627,97.63036691336252
Other Asia,2020,NA,NA
Other Asia,2021,1986.153,66.916
Other Asia,2022,1557.8162723119576,100.66161457218604
Australia,2018,1048.7691445475891,81.66851706323384
Australia,2019,1102.9645824433962,86.39106028445453
Australia,2020,NA,NA
Australia,2021,1465.687,49.363
Australia,2022,1545.3139610135368,90.87834247846911
New Zealand,2018,1189.9472293553015,89.91473727985651
New Zealand,2019,912.2076779448902,63.17744114423274
New Zealand,2020,NA,NA
New Zealand,2021,1874.481,54.089
New Zealand,2022,1572.5224576106864,86.13994001135363
Barbados,2018,477.0890847174831,25.560171716506822
Barbados,2019,554.9864657410767,27.404680923378322
Barbados,2020,NA,NA
Barbados,2021,1313.454,28.952
Barbados,2022,1118.438327806923,62.625895214524135
Jamaica,2018,685.8736327507737,38.30157254982389
Jamaica,2019,643.3164331783533,30.60575315529834
Jamaica,2020,NA,NA
Jamaica,2021,1260.546,25.251
Jamaica,2022,1209.0797891511343,36.5956924763707
Other Caribbean,2018,945.9752490407673,95.16983503854034
Other Caribbean,2019,934.6390285152693,45.73199049021263
Other Caribbean,2020,NA,NA
Other Caribbean,2021,1203.327,47.336
Other Caribbean,2022,1326.7771795373621,80.01151905887421
Brazil,2018,872.839357806271,106.70955256969647
Brazil,2019,858.4361292640153,82.00590646041435
Brazil,2020,NA,NA
Brazil,2021,1294.685,29.122
Brazil,2022,1161.1162627665644,68.99030445591164
Mexico,2018,537.1053996024837,79.99959474007905
Mexico,2019,735.0088357989995,107.07984228495836
Mexico,2020,NA,NA
Mexico,2021,1594.109,43.158
Mexico,2022,1137.1020791122592,137.36442139085025
Other Central & Sth. America,2018,883.3258183443194,70.82363170121367
Other Central & Sth. America,2019,738.3712518012225,79.75718823998155
Other Central & Sth. America,2020,NA,NA
Other Central & Sth. America,2021,1836.259,43.978
Other Central & Sth. America,2022,1053.005261279344,88.10184785833967
Rest of the World,2018,492.74741488951526,28.15031331451354
Rest of the World,2019,158.3740064789159,23.110723401661307
Rest of the World,2020,NA,NA
Rest of the World,2021,4307.382,468.029
Rest of the World,2022,981.3714591709083,40.192383648298154
Other Countries,2018,NA,NA
Other Countries,2019,NA,NA
Other Countries,2020,NA,NA
Other Countries,2021,2394.958,68.71
Other Countries,2022,1654.3618953493778,92.26218429754678
Total World,2018,1280.9384270717844,100.45532609670668
Total World,2019,1356.824114577836,107.28512241011856
Total World,2020,NA,NA
Total World,2021,874.927,59.723
Total World,2022,843.3811600382243,100.24555841378927
