year,month,all_visits,purpose_of_visit,number_of_visits_thousands
2018,Jan,2734.1272400582307,holiday,790.3988838711409
2018,Jan,2734.1272400582307,business,690.6085080005869
2018,Jan,2734.1272400582307,visiting_friends_or_relatives,1072.642840798868
2018,Jan,2734.1272400582307,miscellaneous,180.47700738763453
2018,Feb,2572.50593446686,holiday,820.3832318206865
2018,Feb,2572.50593446686,business,741.0366777852997
2018,Feb,2572.50593446686,visiting_friends_or_relatives,766.4514619810068
2018,Feb,2572.50593446686,miscellaneous,244.63456287987262
2018,Mar,3240.039947930833,holiday,1166.768138799412
2018,Mar,3240.039947930833,business,887.4828278536497
2018,Mar,3240.039947930833,visiting_friends_or_relatives,964.0461327772098
2018,Mar,3240.039947930833,miscellaneous,221.7428485005614
2018,Apr,3403.904852638703,holiday,1395.5149484602887
2018,Apr,3403.904852638703,business,765.2836764641928
2018,Apr,3403.904852638703,visiting_friends_or_relatives,1027.9816777520143
2018,Apr,3403.904852638703,miscellaneous,215.12454996220703
2018,May,3613.684654627259,holiday,1710.2121124999787
2018,May,3613.684654627259,business,743.1482294151807
2018,May,3613.684654627259,visiting_friends_or_relatives,958.7078049311183
2018,May,3613.684654627259,miscellaneous,201.61650778098164
2018,Jun,3503.2992132571085,holiday,1508.2939154439766
2018,Jun,3503.2992132571085,business,676.7725681309417
2018,Jun,3503.2992132571085,visiting_friends_or_relatives,1099.3600868786575
2018,Jun,3503.2992132571085,miscellaneous,218.87264280353236
2018,Jul,4172.403069918681,holiday,1962.1073866725833
2018,Jul,4172.403069918681,business,724.954129497435
2018,Jul,4172.403069918681,visiting_friends_or_relatives,1158.7128189672037
2018,Jul,4172.403069918681,miscellaneous,326.62873478145855
2018,Aug,4126.496070225113,holiday,1970.5966407917122
2018,Aug,4126.496070225113,business,614.456762624221
2018,Aug,4126.496070225113,visiting_friends_or_relatives,1210.3118704924314
2018,Aug,4126.496070225113,miscellaneous,331.13079631674924
2018,Sep,3237.412895518127,holiday,1316.5791612637258
2018,Sep,3237.412895518127,business,766.1390004673117
2018,Sep,3237.412895518127,visiting_friends_or_relatives,946.01992659121
2018,Sep,3237.412895518127,miscellaneous,208.67480719587968
2018,Oct,3491.3943701425987,holiday,1338.6604834129996
2018,Oct,3491.3943701425987,business,762.9076929450968
2018,Oct,3491.3943701425987,visiting_friends_or_relatives,1121.5632405594968
2018,Oct,3491.3943701425987,miscellaneous,268.2629532250051
2018,Nov,3112.4828437698275,holiday,1202.4216683377178
2018,Nov,3112.4828437698275,business,802.7741653724094
2018,Nov,3112.4828437698275,visiting_friends_or_relatives,924.072320944966
2018,Nov,3112.4828437698275,miscellaneous,183.21468911473377
2018,Dec,3075.4515361997173,holiday,1152.646999995734
2018,Dec,3075.4515361997173,business,609.3697374245064
2018,Dec,3075.4515361997173,visiting_friends_or_relatives,1084.6143605576935
2018,Dec,3075.4515361997173,miscellaneous,228.8204382217836
2019,Jan,2830.273952091494,holiday,972.7980602085888
2019,Jan,2830.273952091494,business,651.9837840523202
2019,Jan,2830.273952091494,visiting_friends_or_relatives,1024.9609891581433
2019,Jan,2830.273952091494,miscellaneous,180.5311186724412
2019,Feb,2372.395442118194,holiday,844.3504411863597
2019,Feb,2372.395442118194,business,620.769468321492
2019,Feb,2372.395442118194,visiting_friends_or_relatives,723.9695495364003
2019,Feb,2372.395442118194,miscellaneous,183.3059830739423
2019,Mar,3129.2737819972963,holiday,1147.1104363158445
2019,Mar,3129.2737819972963,business,849.9942727022557
2019,Mar,3129.2737819972963,visiting_friends_or_relatives,923.1603106451494
2019,Mar,3129.2737819972963,miscellaneous,209.00876233404685
2019,Apr,3198.50478425777,holiday,1402.6276323532636
2019,Apr,3198.50478425777,business,604.3312897794068
2019,Apr,3198.50478425777,visiting_friends_or_relatives,959.8331570862075
2019,Apr,3198.50478425777,miscellaneous,231.71270503889266
2019,May,3438.45571174334,holiday,1387.8736442919983
2019,May,3438.45571174334,business,753.7121342562127
2019,May,3438.45571174334,visiting_friends_or_relatives,1101.258554826321
2019,May,3438.45571174334,miscellaneous,195.61137836880826
2019,Jun,3727.3006093094164,holiday,1717.8450201230016
2019,Jun,3727.3006093094164,business,832.2909921228734
2019,Jun,3727.3006093094164,visiting_friends_or_relatives,931.595999373919
2019,Jun,3727.3006093094164,miscellaneous,245.56859768962298
2019,Jul,4154.550652362978,holiday,1866.2112659731697
2019,Jul,4154.550652362978,business,722.1962379005812
2019,Jul,4154.550652362978,visiting_friends_or_relatives,1191.752263225966
2019,Jul,4154.550652362978,miscellaneous,374.3908852632616
2019,Aug,4417.86666537428,holiday,2217.4063859746107
2019,Aug,4417.86666537428,business,568.9869536050281
2019,Aug,4417.86666537428,visiting_friends_or_relatives,1313.0372915158875
2019,Aug,4417.86666537428,miscellaneous,318.4360342787538
2019,Sep,3291.7105867830624,holiday,1281.7166979626738
2019,Sep,3291.7105867830624,business,865.9035714358705
2019,Sep,3291.7105867830624,visiting_friends_or_relatives,924.7902804402305
2019,Sep,3291.7105867830624,miscellaneous,219.30003694428737
2019,Oct,3730.9580319030556,holiday,1480.0752395138295
2019,Oct,3730.9580319030556,business,850.2275364153368
2019,Oct,3730.9580319030556,visiting_friends_or_relatives,1148.785183345412
2019,Oct,3730.9580319030556,miscellaneous,251.87007262847746
2019,Nov,3121.100552637582,holiday,1186.7439913134126
2019,Nov,3121.100552637582,business,801.3434582406528
2019,Nov,3121.100552637582,visiting_friends_or_relatives,953.5198928793176
2019,Nov,3121.100552637582,miscellaneous,179.49321020419939
2019,Dec,3445.0572259122646,holiday,1400.9467351517148
2019,Dec,3445.0572259122646,business,548.9307555968954
2019,Dec,3445.0572259122646,visiting_friends_or_relatives,1229.7864274410101
2019,Dec,3445.0572259122646,miscellaneous,265.3933077226441
2020,Jan,3036.130685199601,holiday,1124.7697298412793
2020,Jan,3036.130685199601,business,610.2882880716696
2020,Jan,3036.130685199601,visiting_friends_or_relatives,1115.2276379532655
2020,Jan,3036.130685199601,miscellaneous,185.84502933338655
2020,Feb,2512.354970337974,holiday,891.031520657808
2020,Feb,2512.354970337974,business,751.2194156431584
2020,Feb,2512.354970337974,visiting_friends_or_relatives,699.6106031075766
2020,Feb,2512.354970337974,miscellaneous,170.4934309294309
2020,Mar,1445.7314297103344,holiday,584.1110661759633
2020,Mar,1445.7314297103344,business,299.0140874455819
2020,Mar,1445.7314297103344,visiting_friends_or_relatives,381.89298914754363
2020,Mar,1445.7314297103344,miscellaneous,180.71328694124568
2020,Apr,95.16297604447611,holiday,41.64200007447751
2020,Apr,95.16297604447611,business,18.521247167196943
2020,Apr,95.16297604447611,visiting_friends_or_relatives,28.96207960013323
2020,Apr,95.16297604447611,miscellaneous,5.8151210640400475
2020,May,126.621238815112,holiday,56.6181704302112
2020,May,126.621238815112,business,27.325801829972423
2020,May,126.621238815112,visiting_friends_or_relatives,35.240642293951424
2020,May,126.621238815112,miscellaneous,7.436624260976955
2020,Jun,176.435799499385,holiday,79.14724047968231
2020,Jun,176.435799499385,business,38.39879195200964
2020,Jun,176.435799499385,visiting_friends_or_relatives,47.92002630586379
2020,Jun,176.435799499385,miscellaneous,10.969740761829303
2020,Jul,632.70729542,holiday,296.4498037
2020,Jul,632.70729542,business,109.70543370000003
2020,Jul,632.70729542,visiting_friends_or_relatives,179.73462520000004
2020,Jul,632.70729542,miscellaneous,46.817432820000015
2020,Aug,993.0124607650001,holiday,494.59220336225906
2020,Aug,993.0124607650001,business,126.72215201595175
2020,Aug,993.0124607650001,visiting_friends_or_relatives,306.86386753862786
2020,Aug,993.0124607650001,miscellaneous,64.83423784816132
2020,Sep,696.49591071,holiday,275.1668183960493
2020,Sep,696.49591071,business,169.5537411975656
2020,Sep,696.49591071,visiting_friends_or_relatives,198.9305961971438
2020,Sep,696.49591071,miscellaneous,52.84475491924129
2020,Oct,569.639129091,holiday,223.66069754542366
2020,Oct,569.639129091,business,133.94653616731514
2020,Oct,569.639129091,visiting_friends_or_relatives,176.04566475704235
2020,Oct,569.639129091,miscellaneous,35.986230621218844
2020,Nov,357.72983266299997,holiday,128.32542751901227
2020,Nov,357.72983266299997,business,92.1019663636455
2020,Nov,357.72983266299997,visiting_friends_or_relatives,113.15416131676452
2020,Nov,357.72983266299997,miscellaneous,24.148277463577724
2020,Dec,458.485395564,holiday,166.6607981869139
2020,Dec,458.485395564,business,90.24475769291405
2020,Dec,458.485395564,visiting_friends_or_relatives,164.6634406870707
2020,Dec,458.485395564,miscellaneous,36.91639899710134
2021,Jan *,64.75141954484639,holiday,1.3716053778004638
2021,Jan *,64.75141954484639,business,3.133871040645047
2021,Jan *,64.75141954484639,visiting_friends_or_relatives,45.60705462786603
2021,Jan *,64.75141954484639,miscellaneous,14.638888498534836
2021,Feb *,68.51118122925803,holiday,3.1279271357055007
2021,Feb *,68.51118122925803,business,7.108065139594993
2021,Feb *,68.51118122925803,visiting_friends_or_relatives,47.08851970902122
2021,Feb *,68.51118122925803,miscellaneous,11.186669244936304
2021,Mar *,61.32728222589545,holiday,2.906820794066686
2021,Mar *,61.32728222589545,business,9.715292710367558
2021,Mar *,61.32728222589545,visiting_friends_or_relatives,34.65169420441029
2021,Mar *,61.32728222589545,miscellaneous,14.053474517050915
2021,Apr *,64.94687032185163,holiday,2.0649423793517
2021,Apr *,64.94687032185163,business,11.6678587296781
2021,Apr *,64.94687032185163,visiting_friends_or_relatives,41.20029283828804
2021,Apr *,64.94687032185163,miscellaneous,10.013776374533798
2021,May *,85.55297515202537,holiday,3.0114864917513646
2021,May *,85.55297515202537,business,17.65851525853598
2021,May *,85.55297515202537,visiting_friends_or_relatives,51.72461123451814
2021,May *,85.55297515202537,miscellaneous,13.158362167219872
2021,Jun *,126.06662352612395,holiday,8.08367653553253
2021,Jun *,126.06662352612395,business,14.233024721976754
2021,Jun *,126.06662352612395,visiting_friends_or_relatives,79.70532710098414
2021,Jun *,126.06662352612395,miscellaneous,24.04459516763054
2021,Jul,330.74062446729357,holiday,30.440981700468317
2021,Jul,330.74062446729357,business,38.2040722992755
2021,Jul,330.74062446729357,visiting_friends_or_relatives,210.86383770926014
2021,Jul,330.74062446729357,miscellaneous,51.23173275828963
2021,Aug,759.0007464332175,holiday,86.45682759068725
2021,Aug,759.0007464332175,business,116.87476533543735
2021,Aug,759.0007464332175,visiting_friends_or_relatives,501.3398278058784
2021,Aug,759.0007464332175,miscellaneous,54.329325701214586
2021,Sep,949.2586290994889,holiday,196.48457745412034
2021,Sep,949.2586290994889,business,189.19810359113924
2021,Sep,949.2586290994889,visiting_friends_or_relatives,511.87889338609995
2021,Sep,949.2586290994889,miscellaneous,51.697054668129425
2021,Oct,1103.2165042894128,holiday,259.1225267350132
2021,Oct,1103.2165042894128,business,218.31152960665239
2021,Oct,1103.2165042894128,visiting_friends_or_relatives,548.0477020380541
2021,Oct,1103.2165042894128,miscellaneous,77.7347459096932
2021,Nov,1610.3704920076377,holiday,377.2525935089238
2021,Nov,1610.3704920076377,business,335.3873228969243
2021,Nov,1610.3704920076377,visiting_friends_or_relatives,801.5731329787458
2021,Nov,1610.3704920076377,miscellaneous,96.15744262304392
2021,Dec,1039.4130037029495,holiday,201.06718283979018
2021,Dec,1039.4130037029495,business,233.86264398115338
2021,Dec,1039.4130037029495,visiting_friends_or_relatives,514.6762359940755
2021,Dec,1039.4130037029495,miscellaneous,89.80694088793054
2022,Jan,838.6211608785198,holiday,101.69321588817598
2022,Jan,838.6211608785198,business,159.95964881704498
2022,Jan,838.6211608785198,visiting_friends_or_relatives,525.3139690114474
2022,Jan,838.6211608785198,miscellaneous,51.654327161851434
2022,Feb,1044.8384435104642,holiday,262.4497765392685
2022,Feb,1044.8384435104642,business,239.40322124832574
2022,Feb,1044.8384435104642,visiting_friends_or_relatives,466.3911740528986
2022,Feb,1044.8384435104642,miscellaneous,76.59427166997135
2022,Mar,1859.9103998611015,holiday,578.8507041654264
2022,Mar,1859.9103998611015,business,402.4365586642825
2022,Mar,1859.9103998611015,visiting_friends_or_relatives,747.9327787782299
2022,Mar,1859.9103998611015,miscellaneous,130.69035825316251
2022,Apr,2251.9260648607965,holiday,852.6612618024387
2022,Apr,2251.9260648607965,business,372.8081672816714
2022,Apr,2251.9260648607965,visiting_friends_or_relatives,856.4770392108758
2022,Apr,2251.9260648607965,miscellaneous,169.97959656581057
2022,May,2728.0910272231476,holiday,1137.8640653022878
2022,May,2728.0910272231476,business,439.96675495432623
2022,May,2728.0910272231476,visiting_friends_or_relatives,983.5440610647546
2022,May,2728.0910272231476,miscellaneous,166.71614590177907
2022,June,2977.356035171585,holiday,1306.5625976768017
2022,June,2977.356035171585,business,476.723394435243
2022,June,2977.356035171585,visiting_friends_or_relatives,1014.5018210221209
2022,June,2977.356035171585,miscellaneous,179.56822203741945
2022,July,3444.971362151443,holiday,1488.16586871576
2022,July,3444.971362151443,business,524.437769935501
2022,July,3444.971362151443,visiting_friends_or_relatives,1160.8019148769147
2022,July,3444.971362151443,miscellaneous,271.5658086232675
2022,Aug,3544.7468681808855,holiday,1668.9026478725139
2022,Aug,3544.7468681808855,business,359.19886787801227
2022,Aug,3544.7468681808855,visiting_friends_or_relatives,1273.8845593750077
2022,Aug,3544.7468681808855,miscellaneous,242.76079305535185
2022,Sep,2956.3535058535845,holiday,1148.6330445272492
2022,Sep,2956.3535058535845,business,565.8101700718695
2022,Sep,2956.3535058535845,visiting_friends_or_relatives,1033.138982243352
2022,Sep,2956.3535058535845,miscellaneous,208.77130901111386
2022,Oct,3321.632520727046,holiday,1262.1034952833172
2022,Oct,3321.632520727046,business,548.9330841913201
2022,Oct,3321.632520727046,visiting_friends_or_relatives,1158.3110941430323
2022,Oct,3321.632520727046,miscellaneous,352.28484710937624
2022,Nov,3238.353143614572,holiday,1214.5997013290716
2022,Nov,3238.353143614572,business,567.352405667775
2022,Nov,3238.353143614572,visiting_friends_or_relatives,1259.3497638203607
2022,Nov,3238.353143614572,miscellaneous,197.051272797365
2022,Dec†,3037.6384641037994,holiday,1069.859485899252
2022,Dec†,3037.6384641037994,business,492.30208131580343
2022,Dec†,3037.6384641037994,visiting_friends_or_relatives,1300.129396514887
2022,Dec†,3037.6384641037994,miscellaneous,175.34750037385683
