region_vistited,region_of_residence,year,number_of_visits_thousands,spending_million
London,North America,2018,3596.636891014024,2764.6992935951935
London,North America,2019,3587.0372616296654,2865.530306920648
London,North America,2020,NA,NA
London,North America,2021,454.8332535557027,514.2182820050534
London,North America,2022,3517.7645705827204,3767.27193691262
London,Europe,2018,11828.452391401781,5339.047497625684
London,Europe,2019,12621.189338840182,6136.541580424532
London,Europe,2020,NA,NA
London,Europe,2021,1859.6284976565885,1245.4224135116215
London,Europe,2022,9613.928784240012,5598.050076224654
London,- of which EU,2018,10539.274063527562,4392.785167297251
London,- of which EU,2019,11349.541702695233,5258.315053428546
London,- of which EU,2020,NA,NA
London,- of which EU,2021,1663.263945002817,1064.9028146511246
London,- of which EU,2022,8627.608855145123,4834.836446015299
London,- of which EU15,2018,8990.018969733761,3797.9229429096863
London,- of which EU15,2019,9645.209482597722,4433.764139177392
London,- of which EU15,2020,NA,NA
London,- of which EU15,2021,1425.5304645285714,887.5586854777591
London,- of which EU15,2022,7569.754379247906,4276.6697534152245
London,- of which EU Oth,2018,1549.2550937937974,594.8622243875582
London,- of which EU Oth,2019,1704.3322200975156,824.550914251154
London,- of which EU Oth,2020,NA,NA
London,- of which EU Oth,2021,237.73348047424574,177.34412917336536
London,- of which EU Oth,2022,1057.8544758972205,558.1666926000705
London,Other Countries,2018,5646.938016108623,6759.122727446919
London,Other Countries,2019,5505.2385761963205,6722.930358989747
London,Other Countries,2020,NA,NA
London,Other Countries,2021,408.1917270485617,931.0163470457949
London,Other Countries,2022,2986.2452709478216,4767.299767750798
London,Total World,2018,21072.02729852447,14862.869518667781
London,Total World,2019,21713.465176666126,15725.002246334889
London,Total World,2020,NA,NA
London,Total World,2021,2722.653478260852,2690.6570425624695
London,Total World,2022,16117.938625770543,14132.621780888074
Other England,North America,2018,1851.510160985455,1207.2132418739673
Other England,North America,2019,1804.4140698101844,1128.2245903255323
Other England,North America,2020,NA,NA
Other England,North America,2021,303.8877457423043,278.9298475636292
Other England,North America,2022,1795.4350855947944,1634.0670732333415
Other England,Europe,2018,11528.428692654808,4256.113636927804
Other England,Europe,2019,12022.557795072367,4604.770987826359
Other England,Europe,2020,NA,NA
Other England,Europe,2021,2600.8386585362077,1308.5335032066932
Other England,Europe,2022,9469.0650630057,4376.350319954045
Other England,- of which EU,2018,10617.659880070578,3834.189828289735
Other England,- of which EU,2019,10955.544043297517,3990.283487079635
Other England,- of which EU,2020,NA,NA
Other England,- of which EU,2021,2388.004436045006,1150.482015839374
Other England,- of which EU,2022,8636.984432475265,3827.6485146195146
Other England,- of which EU15,2018,7991.22203024266,3008.6996373187376
Other England,- of which EU15,2019,8347.556000835817,3059.566841926582
Other England,- of which EU15,2020,NA,NA
Other England,- of which EU15,2021,1783.4022362574733,920.0177538419873
Other England,- of which EU15,2022,6583.2146187231365,3103.111659160194
Other England,- of which EU Oth,2018,2626.43784982791,825.4901909709961
Other England,- of which EU Oth,2019,2607.988042461713,930.7166451530528
Other England,- of which EU Oth,2020,NA,NA
Other England,- of which EU Oth,2021,604.6021997875339,230.46426199738667
Other England,- of which EU Oth,2022,2053.7698137521297,724.5368554593188
Other England,Other Countries,2018,2956.35755157146,2798.627251428922
Other England,Other Countries,2019,3110.4884986444117,3321.9553741251348
Other England,Other Countries,2020,NA,NA
Other England,Other Countries,2021,339.4682202225112,741.3119642103092
Other England,Other Countries,2022,1932.555126397306,2493.463868515608
Other England,Total World,2018,16336.296405211719,8261.954130230695
Other England,Total World,2019,16937.46036352699,9054.950952277031
Other England,Total World,2020,NA,NA
Other England,Total World,2021,3244.1946245010213,2328.77531498063
Other England,Total World,2022,13197.055274997781,8503.881261702993
Total England,North America,2018,4896.250760400301,3971.912535469161
Total England,North America,2019,4821.257481793012,3993.7548972461805
Total England,North America,2020,NA,NA
Total England,North America,2021,707.9252578058191,793.1481295686831
Total England,North America,2022,4837.493192507289,5401.339010145963
Total England,Europe,2018,22479.38673761653,9595.16113455349
Total England,Europe,2019,23653.1639276221,10741.312568250909
Total England,Europe,2020,NA,NA
Total England,Europe,2021,4354.003561148327,2553.9559167183174
Total England,Europe,2022,18427.237033748755,9974.400396178693
Total England,- of which EU,2018,20375.754321128145,8226.974995586983
Total England,- of which EU,2019,21450.764317614427,9248.598540508188
Total England,- of which EU,2020,NA,NA
Total England,- of which EU,2021,3960.9908290314756,2215.3848304904996
Total England,- of which EU,2022,16697.41654447812,8662.48496063481
Total England,- of which EU15,2018,16356.097528443916,6806.622580228432
Total England,- of which EU15,2019,17313.6253702665,7493.330981103981
Total England,- of which EU15,2020,NA,NA
Total England,- of which EU15,2021,3137.400927840518,1807.5764393197471
Total England,- of which EU15,2022,13680.86001219986,7379.781412575418
Total England,- of which EU Oth,2018,4019.656792684236,1420.3524153585538
Total England,- of which EU Oth,2019,4137.138947347926,1755.2675594042078
Total England,- of which EU Oth,2020,NA,NA
Total England,- of which EU Oth,2021,823.5899011909593,407.8083911707522
Total England,- of which EU Oth,2022,3016.556532278271,1282.7035480593895
Total England,Other Countries,2018,7662.529593601872,9557.749978875845
Total England,Other Countries,2019,7639.374680731035,10044.885733114874
Total England,Other Countries,2020,NA,NA
Total England,Other Countries,2021,707.7982784441252,1672.3283112561044
Total England,Other Countries,2022,4491.322610904242,7260.763636266405
Total England,Total World,2018,35038.167091618714,23124.823648898448
Total England,Total World,2019,36113.79609014618,24779.953198611976
Total England,Total World,2020,NA,NA
Total England,Total World,2021,5769.7270973982695,5019.4323575431035
Total England,Total World,2022,27756.052837160278,22636.503042591026
Scotland,North America,2018,701.1456557854234,623.90535611231
Scotland,North America,2019,761.1688822748977,809.1244667913244
Scotland,North America,2020,NA,NA
Scotland,North America,2021,82.22266715207031,118.90114327411061
Scotland,North America,2022,835.3810042673496,1373.8603337603267
Scotland,Europe,2018,2167.03769630891,1063.2241985862354
Scotland,Europe,2019,1800.5508094888314,978.3785431264868
Scotland,Europe,2020,NA,NA
Scotland,Europe,2021,351.1710883822977,230.278798434904
Scotland,Europe,2022,1954.1975394040767,1265.6662861637183
Scotland,- of which EU,2018,1938.7753898444678,955.2791642725355
Scotland,- of which EU,2019,1586.773918851692,831.7799788252709
Scotland,- of which EU,2020,NA,NA
Scotland,- of which EU,2021,326.6793818623961,206.14221290181072
Scotland,- of which EU,2022,1702.3584070228228,1042.1764377928027
Scotland,- of which EU15,2018,1773.2110665716734,908.8333633184421
Scotland,- of which EU15,2019,1389.4091625589178,751.1664989285642
Scotland,- of which EU15,2020,NA,NA
Scotland,- of which EU15,2021,262.4453908777316,175.44401874013528
Scotland,- of which EU15,2022,1461.5589059862773,952.6199794375607
Scotland,- of which EU Oth,2018,165.56432327279492,46.4458009540931
Scotland,- of which EU Oth,2019,197.36475629277368,80.61347989670678
Scotland,- of which EU Oth,2020,NA,NA
Scotland,- of which EU Oth,2021,64.23399098466466,30.698194161675527
Scotland,- of which EU Oth,2022,240.79950103654608,89.55645835524174
Scotland,Other Countries,2018,861.250136482685,691.5981048205233
Scotland,Other Countries,2019,898.3799769979275,750.9210554349497
Scotland,Other Countries,2020,NA,NA
Scotland,Other Countries,2021,45.45159802933382,109.61452739006312
Scotland,Other Countries,2022,444.9020694664547,511.8318857812076
Scotland,Total World,2018,3729.4334885770204,2378.727659519068
Scotland,Total World,2019,3460.0996687616566,2538.4240653527604
Scotland,Total World,2020,NA,NA
Scotland,Total World,2021,478.8453535637017,458.7944690990782
Scotland,Total World,2022,3234.4806131378796,3151.358505705251
Wales,North America,2018,136.68005237181544,70.64039023962813
Wales,North America,2019,145.46952735018425,68.31445343006413
Wales,North America,2020,NA,NA
Wales,North America,2021,14.74489025771561,10.249450074469735
Wales,North America,2022,111.07162038947835,70.1520514714582
Wales,Europe,2018,651.0656434600699,208.4940327485713
Wales,Europe,2019,644.2776424760187,208.64287531693884
Wales,Europe,2020,NA,NA
Wales,Europe,2021,93.91881042159214,37.436204833831695
Wales,Europe,2022,460.39433260644336,180.6715807184562
Wales,- of which EU,2018,609.656963115665,191.55882517951787
Wales,- of which EU,2019,608.4434778273994,194.5870799663402
Wales,- of which EU,2020,NA,NA
Wales,- of which EU,2021,87.02425608858931,33.258928704005484
Wales,- of which EU,2022,423.9944164332917,161.57909066852102
Wales,- of which EU15,2018,524.1935666332424,168.7327492444848
Wales,- of which EU15,2019,506.5082598971508,166.60061365904193
Wales,- of which EU15,2020,NA,NA
Wales,- of which EU15,2021,71.58465762566351,29.21233931578201
Wales,- of which EU15,2022,352.3366357170125,138.62937491736258
Wales,- of which EU Oth,2018,85.46339648242255,22.826075935032993
Wales,- of which EU Oth,2019,101.93521793024888,27.98646630729827
Wales,- of which EU Oth,2020,NA,NA
Wales,- of which EU Oth,2021,15.439598462925755,4.04658938822347
Wales,- of which EU Oth,2022,71.6577807162792,22.94971575115835
Wales,Other Countries,2018,199.7564576812816,154.13994480819883
Wales,Other Countries,2019,233.3200227107334,237.67475255351096
Wales,Other Countries,2020,NA,NA
Wales,Other Countries,2021,15.196896987158123,18.47882567256105
Wales,Other Countries,2022,114.77835677245686,140.52169772331882
Wales,Total World,2018,987.5021535131664,433.2743677963985
Wales,Total World,2019,1023.0671925369368,514.6320813005136
Wales,Total World,2020,NA,NA
Wales,Total World,2021,123.8605976664659,66.16448058086245
Wales,Total World,2022,686.2443097683781,391.3453299132333
All Regions,North America,2018,5423.7204588121085,4705.952059823185
All Regions,North America,2019,5372.8151304604635,4918.437395912748
All Regions,North America,2020,1170.7904770334803,NA
All Regions,North America,2021,791.6512281695069,931.5840680049455
All Regions,North America,2022,5483.433211687382,6896.000646328453
All Regions,Europe,2018,26692.625706209597,11327.288256075226
All Regions,Europe,2019,27293.13337933356,12407.02999046855
All Regions,Europe,2020,7987.792351741956,NA
All Regions,Europe,2021,4833.6045074739895,2897.2703716726983
All Regions,Europe,2022,20979.287299420506,11678.43687840505
All Regions,- of which EU,2018,24293.8811844099,9716.667468493217
All Regions,- of which EU,2019,24828.326766915816,10661.141970574012
All Regions,- of which EU,2020,NA,NA
All Regions,- of which EU,2021,4410.156952268004,2464.4399096747984
All Regions,- of which EU,2022,18959.440558076,9961.588540778339
All Regions,- of which EU15,2018,19980.048320795144,8204.283146029813
All Regions,- of which EU15,2019,20327.89528819971,8732.829538014117
All Regions,- of which EU15,2020,NA,NA
All Regions,- of which EU15,2021,3515.552621697406,2029.3526359094858
All Regions,- of which EU15,2022,15621.273819224978,8572.965183523514
All Regions,- of which EU Oth,2018,4313.832863614786,1512.384322463413
All Regions,- of which EU Oth,2019,4500.431478716101,1928.3124325598965
All Regions,- of which EU Oth,2020,NA,NA
All Regions,- of which EU Oth,2021,894.6043305705978,435.08727376531425
All Regions,- of which EU Oth,2022,3338.1667388510223,1388.6233572548222
All Regions,Other Countries,2018,8166.856463731313,10474.578136662694
All Regions,Other Countries,2019,8191.499486696711,11122.78522591785
All Regions,Other Countries,2020,1941.9242950444466,NA
All Regions,Other Countries,2021,758.5675168410913,1817.445352888605
All Regions,Other Countries,2022,4781.718485029078,7922.2033160818455
All Regions,Total World,2018,40283.202628753046,26507.818452561067
All Regions,Total World,2019,40857.447996490715,28448.25261229921
All Regions,Total World,2020,11100.507123819907,6209.817009855798
All Regions,Total World,2021,6383.82325248459,5646.299792566253
All Regions,Total World,2022,31244.43899613698,26496.640840815366
