region,purpose,year,number_of_visits_thousands,spending_million
London,Holiday,2018,10661.45327709353,7762.480649081622
London,Holiday,2019,11141.595146804077,8238.017692246722
London,Holiday,2020,NA,NA
London,Holiday,2021,768.8769145999372,852.8284281213446
London,Holiday,2022,8036.868793627317,6996.245486012453
London,of which inclusive tour,2018,1233.192682248977,877.8539749957314
London,of which inclusive tour,2019,1538.0838792159425,893.520148703831
London,of which inclusive tour,2020,NA,NA
London,of which inclusive tour,2021,39.3457387011839,31.331008908817093
London,of which inclusive tour,2022,449.2545735721535,403.8482136134966
London,Business,2018,3875.847004109132,2929.2994388647553
London,Business,2019,3984.132056658183,3631.470386517743
London,Business,2020,NA,NA
London,Business,2021,443.726102381336,436.41456797529355
London,Business,2022,2395.5991429804203,3131.0084969528207
London,Visiting friends or relatives,2018,5206.2427827921965,2639.8181255841605
London,Visiting friends or relatives,2019,5242.41760338388,2760.7439675495684
London,Visiting friends or relatives,2020,NA,NA
London,Visiting friends or relatives,2021,1273.2105494437367,973.0487168933132
London,Visiting friends or relatives,2022,4544.230286383418,3023.2780364628657
London,Miscellaneous,2018,1328.4842345295606,1531.271305137262
London,Miscellaneous,2019,1345.3203698200207,1094.7702000208756
London,Miscellaneous,2020,NA,NA
London,Miscellaneous,2021,236.83991183584516,428.3653295725197
London,Miscellaneous,2022,1141.2404027794018,982.0897614599246
London,All visits,2018,21072.02729852447,14862.869518667781
London,All visits,2019,21713.465176666126,15725.002246334889
London,All visits,2020,NA,NA
London,All visits,2021,2722.653478260852,2690.6570425624695
London,All visits,2022,16117.938625770543,14132.621780888074
Other England,Holiday,2018,4740.912360491719,2512.158273309012
Other England,Holiday,2019,5108.4153898568775,2997.321730983162
Other England,Holiday,2020,NA,NA
Other England,Holiday,2021,311.5996268932764,238.40279282484724
Other England,Holiday,2022,3060.7300664190807,2242.445464680207
Other England,of which inclusive tour,2018,711.2227166617307,435.29483443295493
Other England,of which inclusive tour,2019,890.0523466221673,566.3934146897152
Other England,of which inclusive tour,2020,NA,NA
Other England,of which inclusive tour,2021,30.574105476503846,23.448406378563526
Other England,of which inclusive tour,2022,305.75393861967115,236.62048860095854
Other England,Business,2018,3851.5953295146187,1729.6432580001483
Other England,Business,2019,3754.465028267833,1697.3814581884885
Other England,Business,2020,NA,NA
Other England,Business,2021,671.7328875273962,398.4616505623887
Other England,Business,2022,2416.0796605234905,1508.9446512582035
Other England,Visiting friends or relatives,2018,6527.928730816892,2874.5049908655587
Other England,Visiting friends or relatives,2019,6806.461039584195,2935.9330182730455
Other England,Visiting friends or relatives,2020,NA,NA
Other England,Visiting friends or relatives,2021,1992.3121587178437,1179.223510944936
Other England,Visiting friends or relatives,2022,6818.993268662341,3721.76264960682
Other England,Miscellaneous,2018,1215.8599843884906,1145.647608055968
Other England,Miscellaneous,2019,1268.1189058180637,1424.3147448323346
Other England,Miscellaneous,2020,NA,NA
Other England,Miscellaneous,2021,268.54995136250864,512.6873606484611
Other England,Miscellaneous,2022,901.2522793928866,1030.7284961577561
Other England,All visits,2018,16336.296405211719,8261.954130230695
Other England,All visits,2019,16937.46036352699,9054.950952277031
Other England,All visits,2020,NA,NA
Other England,All visits,2021,3244.1946245010213,2328.77531498063
Other England,All visits,2022,13197.055274997781,8503.881261702993
Total England,Holiday,2018,14232.185204620044,10274.63892239064
Total England,Holiday,2019,14968.377184847932,11235.339423229889
Total England,Holiday,2020,NA,NA
Total England,Holiday,2021,1032.7995613699038,1091.2312209461923
Total England,Holiday,2022,10417.502888456322,9238.690950692664
Total England,of which inclusive tour,2018,1806.969227916901,1313.1488094286854
Total England,of which inclusive tour,2019,2182.1904104686214,1459.9135633935462
Total England,of which inclusive tour,2020,NA,NA
Total England,of which inclusive tour,2021,68.58706334008653,54.77941528738061
Total England,of which inclusive tour,2022,696.4888193727301,640.4687022144554
Total England,Business,2018,7344.367746831298,4658.942696864909
Total England,Business,2019,7392.734600291883,5328.851844706237
Total England,Business,2020,NA,NA
Total England,Business,2021,1086.397592571192,834.8762185376823
Total England,Business,2022,4604.862293586291,4639.953148211026
Total England,Visiting friends or relatives,2018,10999.632060287959,5514.323116449722
Total England,Visiting friends or relatives,2019,11247.14710197771,5696.676985822615
Total England,Visiting friends or relatives,2020,NA,NA
Total England,Visiting friends or relatives,2021,3159.55758591441,2152.2722278382485
Total England,Visiting friends or relatives,2022,10731.57446831656,6745.04068606969
Total England,Miscellaneous,2018,2461.9820798793603,2676.9189131932308
Total England,Miscellaneous,2019,2505.537203028611,2519.0849448532103
Total England,Miscellaneous,2020,NA,NA
Total England,Miscellaneous,2021,490.9723575427667,941.0526902209804
Total England,Miscellaneous,2022,2002.1131868011216,2012.8182576176819
Total England,All visits,2018,35038.167091618714,23124.823648898448
Total England,All visits,2019,36113.79609014618,24779.953198611976
Total England,All visits,2020,NA,NA
Total England,All visits,2021,5769.7270973982695,5019.4323575431035
Total England,All visits,2022,27756.052837160278,22636.503042591026
Scotland,Holiday,2018,2114.005072090199,1512.9189616414676
Scotland,Holiday,2019,2104.585997235492,1623.99774551744
Scotland,Holiday,2020,NA,NA
Scotland,Holiday,2021,128.3435306132205,124.36077505806367
Scotland,Holiday,2022,1881.5002557294936,2011.2587691681888
Scotland,of which inclusive tour,2018,377.4793564905004,304.8723676837413
Scotland,of which inclusive tour,2019,505.21097270866295,458.63847741736606
Scotland,of which inclusive tour,2020,NA,NA
Scotland,of which inclusive tour,2021,4.2858035450250345,9.688085951511301
Scotland,of which inclusive tour,2022,273.21696716342655,442.4949471256574
Scotland,Business,2018,482.49079200950155,270.0590436016203
Scotland,Business,2019,370.58777903035775,308.49827663113314
Scotland,Business,2020,NA,NA
Scotland,Business,2021,85.64551624080715,85.91548282596173
Scotland,Business,2022,307.3746325167622,243.82271579943048
Scotland,Visiting friends or relatives,2018,1049.2905865666723,511.06370101056194
Scotland,Visiting friends or relatives,2019,864.1599184039108,446.0615388004353
Scotland,Visiting friends or relatives,2020,NA,NA
Scotland,Visiting friends or relatives,2021,241.98126575617414,182.63480274076235
Scotland,Visiting friends or relatives,2022,922.4968607758474,640.5230601666017
Scotland,Miscellaneous,2018,83.64703791064602,84.68595326541907
Scotland,Miscellaneous,2019,120.76597409189644,159.86650440375175
Scotland,Miscellaneous,2020,NA,NA
Scotland,Miscellaneous,2021,22.87504095349985,65.88340847429002
Scotland,Miscellaneous,2022,123.10886411577788,255.75396057103032
Scotland,All visits,2018,3729.4334885770204,2378.727659519068
Scotland,All visits,2019,3460.0996687616566,2538.4240653527604
Scotland,All visits,2020,NA,NA
Scotland,All visits,2021,478.8453535637017,458.7944690990782
Scotland,All visits,2022,3234.4806131378796,3151.358505705251
Wales,Holiday,2018,423.46154544300504,184.71712883684037
Wales,Holiday,2019,394.50799282142754,177.64013635777607
Wales,Holiday,2020,NA,NA
Wales,Holiday,2021,16.075118807306538,10.390211823098097
Wales,Holiday,2022,226.74677202895697,146.45663571505045
Wales,of which inclusive tour,2018,49.080242947535886,19.021120908265658
Wales,of which inclusive tour,2019,67.73941950021415,32.88259089919247
Wales,of which inclusive tour,2020,NA,NA
Wales,of which inclusive tour,2021,1.1831535597793628,0.3081253906686907
Wales,of which inclusive tour,2022,16.983342932575717,35.676195105200975
Wales,Business,2018,149.28166951621247,56.46439749837336
Wales,Business,2019,156.48065366062605,71.95823556009701
Wales,Business,2020,NA,NA
Wales,Business,2021,20.586027729156047,8.309456867368665
Wales,Business,2022,95.2583123905176,63.62015139913776
Wales,Visiting friends or relatives,2018,357.26495360763863,140.02233883939843
Wales,Visiting friends or relatives,2019,429.3583830669187,194.74398314039377
Wales,Visiting friends or relatives,2020,NA,NA
Wales,Visiting friends or relatives,2021,83.10813607271777,43.51575685622584
Wales,Visiting friends or relatives,2022,337.7997719655742,144.83471460695205
Wales,Miscellaneous,2018,57.49398494631068,52.07050262178603
Wales,Miscellaneous,2019,42.72016298796421,70.28972624224726
Wales,Miscellaneous,2020,NA,NA
Wales,Miscellaneous,2021,4.091315057285546,3.9490550341698714
Wales,Miscellaneous,2022,26.439453383329912,36.43382819209293
Wales,All visits,2018,987.5021535131664,433.2743677963985
Wales,All visits,2019,1023.0671925369368,514.6320813005136
Wales,All visits,2020,NA,NA
Wales,All visits,2021,123.8605976664659,66.16448058086245
Wales,All visits,2022,686.2443097683781,391.3453299132333
All Regions,Holiday,2018,16337.007697639985,12193.845083070342
All Regions,Holiday,2019,16905.39811991315,13340.500396211772
All Regions,Holiday,2020,4361.503795033104,NA
All Regions,Holiday,2021,1175.4259403707722,1284.367048498169
All Regions,Holiday,2022,12092.103227017495,11566.579742013904
All Regions,of which inclusive tour,2018,2147.120090000663,1648.374465845344
All Regions,of which inclusive tour,2019,2578.4032002824906,1987.383775583172
All Regions,of which inclusive tour,2020,NA,NA
All Regions,of which inclusive tour,2021,75.10816148802313,66.50728793295019
All Regions,of which inclusive tour,2022,936.6565314280145,1135.987298606604
All Regions,Business,2018,8788.83077195189,5115.262042861484
All Regions,Business,2019,8669.53053737487,5823.14986022303
All Regions,Business,2020,2468.9744398591915,NA
All Regions,Business,2021,1222.3535385916246,938.7779610300912
All Regions,Business,2022,5148.833220792125,4981.9966219553
All Regions,Visiting friends or relatives,2018,12328.129712838765,6232.790148808148
All Regions,Visiting friends or relatives,2019,12427.233080731708,6407.5994386209195
All Regions,Visiting friends or relatives,2020,3446.841067127679,NA
All Regions,Visiting friends or relatives,2021,3456.07270292971,2394.8424813589695
All Regions,Visiting friends or relatives,2022,11780.829407109095,7557.616368728739
All Regions,Miscellaneous,2018,2829.2344463224204,2906.783866017138
All Regions,Miscellaneous,2019,2855.286258471,2835.6479034597373
All Regions,Miscellaneous,2020,823.1878218069038,NA
All Regions,Miscellaneous,2021,529.9710705924814,1020.8391461079957
All Regions,Miscellaneous,2022,2222.673141218251,2351.3897036077087
All Regions,All visits,2018,40283.202628753046,26507.818452561067
All Regions,All visits,2019,40857.447996490715,28448.25261229921
All Regions,All visits,2020,11100.507123819894,6209.817009855798
All Regions,All visits,2021,6383.82325248459,5646.299792566253
All Regions,All visits,2022,31244.43899613698,26496.640840815366
